fullname,price,new_price,year,sellertype,kmdriven,ownertype,fueltype,transmissiontype,mileage,enginecc,maxpowerbhp,seats,pricelakh,price_old
Maruti Ciaz VDi Plus,550000,null,2015,Dealer,84000,First Owner,Diesel,Manual,26.21,1248,88.5,5,Medium Range,5.5
Toyota Corolla Altis 1.8 G,870000,null,2014,Dealer,42000,First Owner,Petrol,Manual,14.28,1798,138.03,5,Higher Range,8.7
Toyota Etios G,340000,null,2012,Dealer,55000,First Owner,Petrol,Manual,17.6,1496,88.73,5,Lower Range,3.4
Hyundai i20 1.4 Sportz,660000,9.74-13.09,2018,Dealer,69000,First Owner,Diesel,Manual,22.54,1396,88.73,5,Medium Range,6.6
Maruti Swift Dzire Vdi BSIV,353000,null,2012,Dealer,48059,First Owner,Diesel,Manual,19.3,1248,73.9,5,Lower Range,3.53
Hyundai Santro Xing GLS,125000,null,2009,Dealer,63000,First Owner,Petrol,Manual,17.92,1086,62.1,5,Lower Range,1.25
Maruti Ciaz 1.4 AT Alpha,811000,null,2018,Dealer,49000,First Owner,Petrol,Automatic,19.12,1373,91.1,5,Medium Range,8.11
Maruti Baleno Delta 1.2,600000,6.68-10.42,2018,Dealer,39000,First Owner,Petrol,Manual,21.4,1197,83.1,5,Medium Range,6
Honda Mobilio E i VTEC,500000,null,2017,Individual,120000,First Owner,Petrol,Manual,17.3,1497,117.3,7,Medium Range,5
Hyundai Grand i10 1.2 Kappa Magna AT,470000,6.48-6.57,2017,Dealer,46000,First Owner,Petrol,Automatic,18.9,1197,81.86,5,Medium Range,4.7
BMW 3 Series 320d Luxury Line,2100000,50.61-57.25,2016,Dealer,69000,First Owner,Diesel,Automatic,22.69,1995,190,5,Higher Range,21
Toyota Etios GD,280000,null,2012,Dealer,58360,First Owner,Diesel,Manual,23.59,1364,null,5,Lower Range,2.8
Maruti Ciaz ZDi Plus SHVS,615000,null,2016,Dealer,52000,First Owner,Diesel,Manual,28.09,1248,88.5,5,Medium Range,6.15
Hyundai i10 Sportz 1.1L,230000,null,2013,Individual,44000,First Owner,Petrol,Manual,19.81,1086,68.05,5,Lower Range,2.3
Toyota Etios Liva Petrol TRD Sportivo,295000,null,2012,Dealer,55000,First Owner,Petrol,Manual,18.3,1496,null,5,Lower Range,2.95
Volvo V40 D3,1499000,null,2015,Dealer,44000,First Owner,Diesel,Automatic,16.8,1984,150,5,Higher Range,14.99
Maruti Wagon R LXI,300000,5.26-7.01,2012,Dealer,69000,First Owner,Petrol,Manual,21.79,998,67.05,5,Lower Range,3
Toyota Innova Crysta 2016-2020 2.4 VX MT BSIV,1650000,19.90-29.90,2017,Dealer,63000,First Owner,Diesel,Manual,13.68,2393,147.8,7,Higher Range,16.5
Maruti Swift Dzire AMT VDI,600000,null,2017,Dealer,60000,First Owner,Diesel,Automatic,28.4,1248,74.02,5,Medium Range,6
Mercedes-Benz CLS 250 CDI,4100000,1.01,2016,Dealer,4800,First Owner,Diesel,Automatic,19.4,2143,204,4,Higher Range,41
BMW X1 sDrive20d Expedition,2500000,49.86-51.48,2017,Individual,22000,First Owner,Diesel,Automatic,20.68,1995,188,5,Higher Range,25
Hyundai i20 2015-2017 Magna 1.2,550000,8.03-13.41,2016,Dealer,51334,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.5
Hyundai i10 Sportz,240000,null,2012,Dealer,50000,First Owner,Petrol,Manual,20.36,1197,78.9,5,Lower Range,2.4
Maruti Wagon R LXI,345000,5.11-6.79,2016,Trustmark Dealer,46613,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,3.45
DC Avanti 2.0 L,400000,null,2008,Dealer,12000,First Owner,Petrol,Manual,10,2000,250,2,Lower Range,4
Mercedes-Benz GL-Class 220d 4MATIC Sport,3350000,74.52,2016,Dealer,40000,First Owner,Diesel,Automatic,17.9,2143,170,5,Higher Range,33.5
Hyundai Grand i10 1.2 CRDi Sportz,455000,null,2017,Dealer,21000,First Owner,Diesel,Manual,24,1186,73.97,5,Medium Range,4.55
Maruti Baleno Delta,585000,6.69-10.26,2018,Dealer,19000,First Owner,Petrol,Manual,21.01,1197,81.8,5,Medium Range,5.85
Hyundai Grand i10 AT Asta,540000,6.48-6.57,2015,Dealer,41000,First Owner,Petrol,Automatic,18.9,1197,82,5,Medium Range,5.4
Toyota Etios Cross 1.4 GD,445000,null,2015,Dealer,51500,First Owner,Diesel,Manual,23.59,1364,67.04,5,Medium Range,4.45
Honda City 2017-2020 EXi,200000,12.34-16.27,2008,Individual,100000,First Owner,Petrol,Manual,17.7,1497,78,5,Lower Range,2
Honda Amaze S i-Vtech,395000,null,2014,Dealer,49000,First Owner,Petrol,Manual,18,1198,86.7,5,Lower Range,3.95
Honda Jazz 1.2 V i VTEC,590000,8.51-10.96,2017,Dealer,42000,First Owner,Petrol,Manual,18.7,1199,88.7,5,Medium Range,5.9
Maruti Baleno Zeta 1.2,680000,6.68-10.42,2018,Dealer,4000,First Owner,Petrol,Manual,21.4,1197,83.1,5,Medium Range,6.8
Toyota Etios G,375000,null,2016,Dealer,45000,First Owner,Petrol,Manual,16.78,1496,88.73,5,Lower Range,3.75
Toyota Etios Liva G,435000,null,2016,Trustmark Dealer,21468,First Owner,Petrol,Manual,17.71,1197,78.9,5,Medium Range,4.35
Tata Tigor 1.05 Revotorq XZ,650000,null,2018,Individual,40000,First Owner,Diesel,Manual,24.7,1047,69,5,Medium Range,6.5
Maruti Ritz VXI,295000,null,2013,Dealer,85000,First Owner,Petrol,Manual,21.1,1197,85.8,5,Lower Range,2.95
Hyundai Grand i10 Magna,375000,6.48-6.57,2014,Dealer,29000,First Owner,Petrol,Manual,18.9,1197,82,5,Lower Range,3.75
Maruti Eeco CNG 5 Seater AC BSIV,410000,5.82,2019,Individual,28500,First Owner,CNG,Manual,21.94,1196,61.7,5,Lower Range,4.1
Mercedes-Benz C-Class C 220 CDI Grand Edition,1425000,51.30-64.08,2014,Dealer,82000,First Owner,Diesel,Automatic,11.78,2143,167.62,5,Higher Range,14.25
Jeep Compass 1.4 Limited Option,1450000,null,2018,Dealer,34000,First Owner,Petrol,Automatic,16,1368,160,5,Higher Range,14.5
Hyundai Creta 1.6 VTVT SX Plus,890000,11.58-20.59,2016,Dealer,30000,First Owner,Petrol,Manual,13,1591,121.3,5,Higher Range,8.9
Honda Jazz V CVT,625000,null,2017,Dealer,34633,First Owner,Petrol,Automatic,18.2,1199,88.7,5,Medium Range,6.25
Maruti Swift Dzire AMT ZDI Plus,695000,null,2017,Dealer,63452,First Owner,Diesel,Automatic,28.4,1248,74.02,5,Medium Range,6.95
Porsche Macan 2013-2019 R4,5975000,80.48-96.49,2017,Dealer,34000,First Owner,Petrol,Automatic,13.6,1984,249,5,Expensive,59.75
Maruti Wagon R CNG LXI BSIV,365000,5.97-6.04,2016,Trustmark Dealer,37208,First Owner,CNG,Manual,33.54,998,67.04,5,Lower Range,3.65
Tata Safari Storme LX,675000,null,2015,Dealer,80000,First Owner,Diesel,Manual,14.1,2179,147.94,5,Medium Range,6.75
Hyundai i20 1.2 Spotz,595000,8.03-13.41,2018,Dealer,43000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.95
Maruti Zen Estilo 1.1 VXI BSIII,120000,null,2009,Individual,70000,First Owner,Petrol,Manual,18.2,1061,64,5,Lower Range,1.2
Honda City V AT,475000,12.68-16.80,2012,Dealer,78000,First Owner,Petrol,Automatic,15.6,1497,116.3,5,Medium Range,4.75
Toyota Camry Hybrid,1699000,45,2015,Dealer,65000,First Owner,Petrol,Automatic,19.16,2494,158.2,5,Higher Range,16.99
Mercedes-Benz E-Class E250 Petrol,1050000,72.29-1.72 ,2010,Dealer,48000,First Owner,Petrol,Manual,11.2,2497,203,5,Higher Range,10.5
Maruti Swift AMT VVT ZXI,650000,null,2018,Dealer,30000,First Owner,Petrol,Automatic,22,1197,81.8,5,Medium Range,6.5
Maruti Alto K10 2010-2014 VXI,235000,null,2012,Trustmark Dealer,42489,First Owner,Petrol,Manual,20.92,998,67.1,5,Lower Range,2.35
Mercedes-Benz CLA 200 D Sport Edition,2790000,null,2018,Dealer,26000,First Owner,Diesel,Automatic,17.9,2143,136,5,Higher Range,27.9
Hyundai Verna 1.6 SX CRDI (O) AT,545000,13.09-18.29,2014,Dealer,47000,First Owner,Diesel,Automatic,22.32,1582,126.32,5,Medium Range,5.45
Hyundai Santro Xing GLS,165000,null,2009,Dealer,20000,First Owner,Petrol,Manual,17.92,1086,62.1,5,Lower Range,1.65
Maruti Wagon R LXI,320000,null,2015,Dealer,56931,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,3.2
Skoda Rapid 1.5 TDI AT Style Plus,595000,null,2016,Dealer,49000,First Owner,Diesel,Automatic,21.66,1498,103.52,5,Medium Range,5.95
Hyundai Santro Xing GLS,127000,null,2009,Individual,36000,First Owner,Petrol,Manual,17.92,1086,62.1,5,Lower Range,1.27
Nissan Sunny Diesel XL,380000,null,2014,Dealer,60000,First Owner,Diesel,Manual,22.71,1461,84.8,5,Lower Range,3.8
Mahindra Scorpio S4 Plus,825000,15.19-19.71,2016,Dealer,64312,First Owner,Diesel,Manual,15.4,2179,120,7,Medium Range,8.25
Hyundai Creta 1.4 CRDi S,865000,12.37-20.59,2018,Dealer,73249,First Owner,Diesel,Manual,21.38,1396,88.7,5,Higher Range,8.65
Hyundai i10 Era,150000,null,2011,Individual,190000,First Owner,Petrol,Manual,19.81,1086,68.05,5,Lower Range,1.5
Maruti Celerio LXI,365000,5.12-6.43,2015,Dealer,34000,First Owner,Petrol,Manual,23.1,998,67.04,5,Lower Range,3.65
Toyota Camry A/T,1099000,45,2014,Dealer,56000,First Owner,Petrol,Automatic,12.1,2362,164.7,5,Higher Range,10.99
Maruti Wagon R Stingray VXI,300000,null,2014,Individual,50000,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,3
Maruti Eeco 5 Seater AC BSIV,415000,4.48-4.94,2019,Individual,10000,First Owner,Petrol,Manual,15.37,1196,73,5,Medium Range,4.15
Volkswagen Ameo 1.0 MPI Comfortline,525000,null,2018,Individual,25000,First Owner,Petrol,Manual,19.44,999,75,5,Medium Range,5.25
Maruti Vitara Brezza ZDi,780000,null,2017,Individual,60000,First Owner,Diesel,Manual,24.3,1248,88.5,5,Medium Range,7.8
Maruti Swift Dzire 1.2 Lxi BSIV,425000,6.53-9.95,2015,Dealer,52000,First Owner,Petrol,Manual,17.5,1197,85.8,5,Medium Range,4.25
Toyota Camry Hybrid,1995000,45,2016,Dealer,87000,First Owner,Petrol,Automatic,19.16,2494,158.2,5,Higher Range,19.95
Maruti Wagon R Stingray AMT VXI,425000,null,2015,Dealer,33000,First Owner,Petrol,Automatic,20.51,998,67.04,5,Medium Range,4.25
Hyundai Grand i10 Magna Petrol BSIV,475000,6.71-6.81,2018,Dealer,22000,First Owner,Petrol,Manual,18.9,1197,81.86,5,Medium Range,4.75
Mercedes-Benz CLA 200 CGI Sport,1950000,null,2016,Dealer,32000,First Owner,Petrol,Automatic,15.04,1991,183,5,Higher Range,19.5
Maruti Vitara Brezza VDi AMT,895000,null,2018,Dealer,29000,First Owner,Diesel,Automatic,24.3,1248,88.5,5,Higher Range,8.95
MG Hector Sharp AT BSIV,1865000,14.96-20.73,2019,Dealer,4100,First Owner,Petrol,Automatic,13.96,1451,141,5,Higher Range,18.65
Hyundai i20 Petrol Spotz,590000,8.03-13.41,2017,Dealer,39000,First Owner,Petrol,Manual,18.6,1197,81.86,5,Medium Range,5.9
Toyota Innova Crysta 2016-2020 2.7 VX MT BSIV,1475000,19.80-26.91,2016,Dealer,18000,First Owner,Petrol,Manual,11.25,2694,163.7,7,Higher Range,14.75
BMW X5 xDrive 30d M Sport,4200000,90.42-1.02 ,2016,Dealer,40000,First Owner,Diesel,Automatic,15.97,2993,258,5,Higher Range,42
Maruti Ertiga VDI,395000,null,2012,Dealer,58000,First Owner,Diesel,Manual,20.77,1248,88.76,7,Lower Range,3.95
Mercedes-Benz S-Class S 350 CDIL,5500000,1.67,2014,Dealer,20001,First Owner,Diesel,Automatic,13.5,2987,282,5,Expensive,55
Ford Figo Petrol EXI,175000,6.59-8.20,2014,Individual,60000,First Owner,Petrol,Manual,15.6,1196,70.02,5,Lower Range,1.75
Honda Amaze S i-Vtech,444000,7.04-9.90,2015,Dealer,60500,First Owner,Petrol,Manual,18,1198,86.7,5,Medium Range,4.44
Audi A4 2.0 TDI 177 Bhp Premium Plus,1210000,null,2013,Dealer,79000,First Owner,Diesel,Automatic,17.11,1968,174.33,5,Higher Range,12.1
Honda City 1.5 V MT,352000,12.68-16.80,2011,Individual,60000,First Owner,Petrol,Manual,17,1497,118,5,Lower Range,3.52
Hyundai i10 Sportz Option,180000,null,2009,Individual,49100,First Owner,Petrol,Manual,20.36,1197,78.9,5,Lower Range,1.8
Mercedes-Benz GLS 2016-2020 350d 4MATIC,6199000,1.23,2017,Dealer,29000,First Owner,Diesel,Automatic,11,2987,258,7,Expensive,61.99
Toyota Innova Crysta 2016-2020 2.8 GX AT 8S BSIV,1480000,19.97-29.18,2017,Individual,67000,First Owner,Diesel,Automatic,11.36,2755,171.5,8,Higher Range,14.8
Honda Civic 1.8 V MT,285000,20.84-24.63,2010,Dealer,80000,First Owner,Petrol,Manual,14.8,1799,130.2,5,Lower Range,2.85
Honda Civic 1.8 S MT,360000,20.84-24.63,2010,Dealer,56000,First Owner,Petrol,Manual,14.8,1799,130.2,5,Lower Range,3.6
Volvo XC 90 D5 AT AWD,2400000,95.81-1.04 ,2014,Dealer,24000,First Owner,Diesel,Automatic,11.1,2400,200,7,Higher Range,24
Ford Figo Diesel Titanium,185000,8.62-9.29,2011,Dealer,57349,First Owner,Diesel,Manual,20,1399,68,5,Lower Range,1.85
Honda Brio S MT,265000,null,2012,Dealer,68000,First Owner,Petrol,Manual,19.4,1198,86.8,5,Lower Range,2.65
Maruti Baleno Zeta 1.2,637000,6.68-10.42,2017,Dealer,14000,First Owner,Petrol,Manual,21.4,1197,83.1,5,Medium Range,6.37
Audi A6 2.0 TDI Premium Plus,1325000,null,2012,Dealer,43000,First Owner,Diesel,Automatic,17.68,1968,174.33,5,Higher Range,13.25
Maruti Ciaz 1.4 Zeta,750000,9.68-13.36,2017,Dealer,58000,First Owner,Petrol,Manual,20.73,1373,91.1,5,Medium Range,7.5
Honda City i DTec V,525000,14.79-17.55,2015,Dealer,63000,First Owner,Diesel,Manual,26,1498,98.6,5,Medium Range,5.25
Chevrolet Cruze LTZ AT,550000,null,2013,Dealer,68000,First Owner,Diesel,Automatic,14.39,1998,163.7,5,Medium Range,5.5
Maruti Swift Dzire VXI,475000,6.53-9.95,2016,Dealer,35000,First Owner,Petrol,Manual,19.1,1197,85.8,5,Medium Range,4.75
Honda CR-V 2.4L 4WD AT,1575000,32.68-34.09,2016,Dealer,55000,First Owner,Petrol,Automatic,12,2354,187.4,5,Higher Range,15.75
Hyundai i20 1.2 Sportz,345000,8.03-13.41,2012,Dealer,53000,First Owner,Petrol,Manual,17,1197,80,5,Lower Range,3.45
Ford Endeavour 2.2 Trend AT 4X2,2675000,35.75-42.06,2018,Dealer,17000,First Owner,Diesel,Automatic,12.62,2198,158,7,Higher Range,26.75
Renault Captur 1.5 Petrol RXT,785000,null,2018,Trustmark Dealer,32224,First Owner,Petrol,Manual,13.87,1498,104.55,5,Medium Range,7.85
Hyundai Accent Executive CNG,200000,null,2013,Individual,120000,First Owner,CNG,Manual,13.2,1495,93.7,5,Lower Range,2
Maruti Wagon R LXI,260000,null,2014,Dealer,47000,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,2.6
Mercedes-Benz GLC 220d 4MATIC,3650000,74.52,2017,Dealer,33000,First Owner,Diesel,Automatic,null,1950,194,5,Higher Range,36.5
Toyota Corolla Altis D-4D JS,1193000,null,2017,Dealer,33000,First Owner,Diesel,Manual,21.43,1364,87.2,5,Higher Range,11.93
Audi Q3 35 TDI Quattro Premium Plus,2499000,null,2018,Dealer,46500,First Owner,Diesel,Automatic,15.17,1968,181,5,Higher Range,24.99
Maruti Wagon R CNG LXI BSIV,380000,null,2018,Dealer,55000,First Owner,CNG,Manual,33.54,998,67.04,5,Lower Range,3.8
Maruti Wagon R VXI,365000,5.12-7.01,2016,Dealer,61193,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,3.65
Maruti Wagon R VXI BSIII W/ ABS,385000,5.11-6.79,2017,Dealer,15000,First Owner,Petrol,Manual,17.3,1061,64,5,Lower Range,3.85
Maruti Celerio VXI,420000,4.98-6.25,2019,Dealer,30000,First Owner,Petrol,Manual,21.63,998,67.04,5,Medium Range,4.2
Honda City 1.5 S MT,275000,12.68-16.80,2008,Dealer,50000,First Owner,Petrol,Manual,17,1497,118,5,Lower Range,2.75
Mahindra Scorpio S6 7 Seater,650000,14.79-19.20,2015,Individual,90000,First Owner,Diesel,Manual,15.4,2179,120,7,Medium Range,6.5
Maruti Swift Star LDI,275000,null,2012,Dealer,64000,First Owner,Diesel,Manual,22.9,1248,74,5,Lower Range,2.75
Honda City i-DTEC ZX,1051000,14.79-17.55,2017,Dealer,55598,First Owner,Diesel,Manual,25.6,1498,97.9,5,Higher Range,10.51
Maruti Vitara Brezza VDi Option,780000,null,2018,Dealer,20000,First Owner,Diesel,Manual,24.3,1248,88.5,5,Medium Range,7.8
Honda City i DTEC V,550000,14.79-17.55,2015,Individual,75000,First Owner,Diesel,Manual,26,1498,98.6,5,Medium Range,5.5
Ford Ecosport 2015-2021 1.5 Diesel Titanium,532000,10.14-13.79,2015,Dealer,73521,First Owner,Diesel,Manual,21.7,1498,98.96,5,Medium Range,5.32
Maruti Swift Dzire VDi,325000,null,2012,Dealer,78000,First Owner,Diesel,Manual,19.3,1248,73.9,5,Lower Range,3.25
Hyundai Xcent 1.2 CRDi SX,365000,null,2014,Dealer,60000,First Owner,Diesel,Manual,25.4,1186,73.97,5,Lower Range,3.65
Hyundai i10 Era 1.1,240000,6.71-6.81,2010,Dealer,80000,First Owner,Petrol,Manual,19.81,1086,68.05,5,Lower Range,2.4
Honda City i DTEC V,556000,14.79-17.55,2014,Dealer,88000,First Owner,Diesel,Manual,26,1498,98.6,5,Medium Range,5.56
Toyota Corolla Altis 1.8 G CVT,890000,null,2015,Dealer,53000,First Owner,Petrol,Automatic,14.28,1798,138.03,5,Higher Range,8.9
Honda City i DTec VX Option,825000,14.79-17.55,2017,Dealer,70000,First Owner,Diesel,Manual,26,1498,98.6,5,Medium Range,8.25
Volvo XC90 D5 Inscription BSIV,6975000,95.81-1.04 ,2019,Dealer,25500,First Owner,Diesel,Automatic,17.2,1969,235,7,Expensive,69.75
Mercedes-Benz S-Class S 350 L,1750000,1.64,2010,Dealer,52000,First Owner,Petrol,Automatic,10.13,3498,364.9,5,Higher Range,17.5
Mahindra XUV500 W8 1.99 mHawk,993000,16.54-23.28,2016,Dealer,57000,First Owner,Diesel,Manual,16,1997,140,7,Higher Range,9.93
Tata Harrier XT,1475000,17.00-24.35,2019,Dealer,12000,First Owner,Diesel,Manual,17,1956,167.67,5,Higher Range,14.75
Mini Cooper S Carbon Edition,1290000,null,2012,Dealer,38000,First Owner,Petrol,Automatic,13.6,1598,181,4,Higher Range,12.9
BMW X5 xDrive 30d Design Pure Experience 5 Seater,3700000,90.42-1.02 ,2015,Dealer,47500,First Owner,Diesel,Automatic,15.97,2993,258,5,Higher Range,37
Maruti Celerio ZXI AT Optional,465000,4.97-6.22,2016,Dealer,2200,First Owner,Petrol,Automatic,23.1,998,67.04,5,Medium Range,4.65
Volkswagen Vento 1.5 TDI Comfortline,350000,null,2013,Dealer,55000,First Owner,Diesel,Manual,20.34,1498,103.2,5,Lower Range,3.5
Tata Zest Revotron 1.2 XT,325000,null,2014,Dealer,29000,First Owner,Petrol,Manual,17.57,1193,88.7,5,Lower Range,3.25
Honda Amaze VX O i VTEC,375000,7.04-9.90,2014,Dealer,52000,First Owner,Petrol,Manual,18,1198,86.7,5,Lower Range,3.75
Volkswagen Vento Diesel Trendline,324000,null,2013,Dealer,65000,First Owner,Diesel,Manual,20.54,1598,103.6,5,Lower Range,3.24
Hyundai Creta 1.4 E Plus,825000,11.70-19.75,2017,Dealer,85000,First Owner,Diesel,Manual,22.1,1396,88.7,5,Medium Range,8.25
Maruti Swift 1.3 LXI,240000,6.04-8.98,2010,Dealer,70000,First Owner,Petrol,Manual,16.1,null,null,null,Lower Range,2.4
Mahindra Scorpio Intelli Hybrid S10,1249000,null,2017,Dealer,45023,First Owner,Diesel,Manual,15.4,2179,120,7,Higher Range,12.49
Honda CR V 2.4L 4WD AT AVN,1750000,32.68-34.09,2017,Dealer,75000,First Owner,Petrol,Automatic,12,2354,187.4,5,Higher Range,17.5
Toyota Fortuner 2016-2021 2.8 2WD AT BSIV,3300000,39.97-46.24,2019,Dealer,45000,First Owner,Diesel,Automatic,12.9,2755,174.5,7,Higher Range,33
Honda City i VTEC V,800000,12.66-16.77,2017,Trustmark Dealer,36591,First Owner,Petrol,Manual,17.8,1497,117.3,5,Medium Range,8
Ford Ecosport 2015-2021 1.5 Diesel Titanium,675000,10.14-13.79,2016,Dealer,72000,First Owner,Diesel,Manual,21.7,1498,98.96,5,Medium Range,6.75
Ford Ecosport 1.5 Ti VCT MT Trend,510000,9.19-13.13,2014,Dealer,55000,First Owner,Petrol,Manual,15.8,1499,110,5,Medium Range,5.1
Renault Duster 110PS Diesel RxZ,425000,null,2013,Dealer,70931,First Owner,Diesel,Manual,19.01,1461,108.45,5,Medium Range,4.25
Hyundai i20 2015-2017 Asta Option 1.2,550000,8.03-13.41,2016,Dealer,60000,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.5
Maruti Wagon R LX BS IV,299000,5.11-6.79,2016,Dealer,58000,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,2.99
Audi A5 Sportback,3680000,null,2017,Dealer,36000,First Owner,Diesel,Automatic,19.2,1968,187.74,5,Higher Range,36.8
Hyundai Creta 1.6 CRDi SX,760000,null,2016,Dealer,58500,First Owner,Diesel,Manual,19.67,1582,126.2,5,Medium Range,7.6
Volkswagen Polo Diesel Trendline 1.2L,299000,null,2013,Dealer,53000,First Owner,Diesel,Manual,22.07,1199,73.9,5,Lower Range,2.99
Maruti Kizashi CVT,425000,null,2011,Dealer,63000,First Owner,Petrol,Automatic,10,2393,175.6,5,Medium Range,4.25
Maruti Ertiga VXI ABS,550000,8.62-12.06,2015,Dealer,51342,First Owner,Petrol,Manual,16.02,1373,93.7,7,Medium Range,5.5
Maruti Ciaz ZDi Plus,650000,null,2017,Dealer,39000,First Owner,Diesel,Manual,26.21,1248,88.5,5,Medium Range,6.5
Maruti Ciaz VDi Plus SHVS,735000,null,2017,Dealer,55000,First Owner,Diesel,Manual,28.09,1248,88.5,5,Medium Range,7.35
Maruti Swift LXI Option,435000,6.04-8.98,2016,Dealer,45000,First Owner,Petrol,Manual,20.4,1197,81.8,5,Medium Range,4.35
Fiat Linea T Jet Emotion,199000,null,2010,Dealer,42000,First Owner,Petrol,Manual,15.7,1368,112.4,5,Lower Range,1.99
Hyundai Verna 1.6 SX CRDI (O) AT,475000,12.81-17.91,2013,Dealer,68000,First Owner,Diesel,Automatic,22.32,1582,126.32,5,Medium Range,4.75
Maruti Baleno Zeta Automatic,565000,6.68-10.42,2016,Dealer,60001,First Owner,Petrol,Automatic,21.4,1197,83.1,5,Medium Range,5.65
Honda Brio S MT,295000,null,2013,Dealer,61000,First Owner,Petrol,Manual,19.4,1198,86.8,5,Lower Range,2.95
Honda Amaze VX AT i-Vtech,425000,7.04-9.90,2013,Dealer,53000,First Owner,Petrol,Automatic,15.5,1198,86.7,5,Medium Range,4.25
Hyundai Creta 1.6 CRDi AT SX Plus,833000,12.63-21.03,2015,Dealer,58000,First Owner,Diesel,Automatic,17.01,1582,126.2,5,Higher Range,8.33
Maruti Wagon R LXI BSIII,236000,5.11-6.79,2012,Dealer,45000,First Owner,Petrol,Manual,14,1061,64,5,Lower Range,2.36
Toyota Innova 2.5 GX (Diesel) 7 Seater,550000,null,2012,Dealer,67000,First Owner,Diesel,Manual,12.99,2494,100,7,Medium Range,5.5
Tata Hexa XE,950000,14.1,2017,Individual,110000,First Owner,Diesel,Manual,17.6,2179,147.94,7,Higher Range,9.5
Toyota Innova Crysta 2016-2020 2.4 GX MT BSIV,1600000,19.90-29.90,2018,Dealer,36000,First Owner,Diesel,Manual,13.68,2393,147.8,7,Higher Range,16
Maruti Swift VXI,390000,6.04-8.98,2014,Dealer,55000,First Owner,Petrol,Manual,21.21,1197,81.8,5,Lower Range,3.9
Maruti Swift VXI 2018,570000,6.24-9.06,2018,Dealer,18000,First Owner,Petrol,Manual,22,1197,81.8,5,Medium Range,5.7
Maruti Alto 800 LXI,320000,null,2018,Dealer,9800,First Owner,Petrol,Manual,22.74,796,47.3,5,Lower Range,3.2
Toyota Etios Liva G,400000,null,2014,Trustmark Dealer,35550,First Owner,Petrol,Manual,17.71,1197,78.9,5,Lower Range,4
Honda City SV MT,925000,12.68-16.80,2019,Dealer,16000,First Owner,Petrol,Manual,17.4,1497,117.6,5,Higher Range,9.25
Maruti Ciaz ZDi Plus SHVS,650000,null,2016,Dealer,56000,First Owner,Diesel,Manual,28.09,1248,88.5,5,Medium Range,6.5
Maruti Alto K10 VXI,249000,null,2013,Dealer,30000,First Owner,Petrol,Manual,23.95,998,67.05,5,Lower Range,2.49
BMW 5 Series 520d Luxury Line,1925000,73.20-82.67,2014,Dealer,42000,First Owner,Diesel,Automatic,22.48,1995,187.74,5,Higher Range,19.25
Tata Manza Aura Plus Quadrajet,185000,null,2011,Dealer,60000,First Owner,Diesel,Manual,18.8,1248,90,5,Lower Range,1.85
Honda Amaze S i-VTEC,450000,7.04-9.90,2016,Dealer,45000,First Owner,Petrol,Manual,17.8,1198,86.7,5,Medium Range,4.5
Maruti Alto 800 CNG LXI,216000,4.90-4.94,2015,Individual,90000,First Owner,CNG,Manual,30.46,796,47.3,5,Lower Range,2.16
Volkswagen Vento 1.5 TDI Highline,399000,null,2013,Dealer,50000,First Owner,Diesel,Manual,22.27,1498,108.6,5,Lower Range,3.99
Mahindra Thar CRDe,900000,14.75-16.92,2016,Individual,25000,First Owner,Diesel,Manual,16.55,2498,105,6,Higher Range,9
Mercedes-Benz B Class B200 Sport CDI,1475000,null,2015,Dealer,7000,First Owner,Diesel,Automatic,15,2147,107.3,5,Higher Range,14.75
Honda WR-V i-VTEC VX,548000,9.60-10.91,2018,Dealer,32547,First Owner,Petrol,Manual,17.5,1199,88.7,5,Medium Range,5.48
Renault KWID RXT,280000,3.81-6.24,2016,Trustmark Dealer,46583,First Owner,Petrol,Manual,25.17,799,53.3,5,Lower Range,2.8
Mini 5 DOOR Cooper D,2575000,null,2015,Dealer,24500,First Owner,Diesel,Automatic,20.7,1496,113.98,5,Higher Range,25.75
Toyota Innova Crysta 2016-2020 2.4 GX MT BSIV,1450000,19.90-29.90,2017,Dealer,54000,First Owner,Diesel,Manual,13.68,2393,147.8,7,Higher Range,14.5
Maruti Swift VDI Optional,450000,null,2016,Individual,46000,First Owner,Diesel,Manual,25.2,1248,74,5,Medium Range,4.5
Mahindra XUV500 AT W6 1.99 mHawk,975000,16.66-23.20,2016,Dealer,44890,First Owner,Diesel,Automatic,16,1997,140,7,Higher Range,9.75
Fiat Grande Punto EVO 1.3 Active,300000,null,2014,Individual,120000,First Owner,Diesel,Manual,21.2,1248,75,5,Lower Range,3
Hyundai i20 Asta 1.2,504000,8.03-13.41,2015,Individual,57700,First Owner,Petrol,Manual,18.6,1197,81.83,5,Medium Range,5.04
